t,press,temp,fm,ax,ay,az,avx,avy,avz,q0,q1,q2,q3,ax,ay,az,vx,xy,vz,x,y,z
0.900323,1020.128662,56.408333,0, -0.143569,-10.006784,-0.047856, 0.020774,-0.003995,0.007990, 0.000000,1.000000,0.000000,0.000000, -0.143569,0.200785,0.047856, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.910323,1020.128662,56.408333,0, -0.110070,-9.982856,-0.071785, 0.020242,0.001065,0.009854, 0.000000,1.000000,0.000000,0.000000, -0.110070,0.176856,0.071785, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.920323,1020.128662,56.408333,0, -0.124427,-10.001998,-0.153141, 0.021307,0.002663,0.010653, 0.000000,1.000000,0.000000,0.000000, -0.124427,0.195998,0.153141, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.930324,1020.128662,56.408333,0, -0.095713,-10.006784,-0.110070, 0.015714,0.000533,0.005593, 0.000000,1.000000,0.000000,0.000000, -0.095713,0.200785,0.110070, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.940326,1020.069336,56.406250,0, -0.110070,-10.006784,-0.114855, 0.021307,-0.003995,0.008523, 0.000000,1.000000,0.000000,0.000000, -0.110070,0.200785,0.114855, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.952802,1020.069336,56.406250,0, -0.062213,-9.982856,-0.263210, 0.021840,-0.003995,0.006925, 0.000000,1.000000,0.000000,0.000000, -0.062213,0.176856,0.263210, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.962803,1020.069336,56.406250,0, -0.043071,-10.030712,-0.282353, 0.019176,-0.006658,0.006925, 0.000000,1.000000,0.000000,0.000000, -0.043071,0.224712,0.282353, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.972803,1020.069336,56.412498,0, -0.014357,-9.997213,-0.282353, 0.020242,-0.001598,0.008256, 0.000000,1.000000,0.000000,0.000000, -0.014357,0.191214,0.282353, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.982803,1020.099854,56.412498,0, 0.004786,-10.025927,-0.282353, 0.027166,0.001332,0.009322, 0.000000,1.000000,0.000000,0.000000, 0.004786,0.219927,0.282353, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.992803,1020.099854,56.412498,0, -0.043071,-10.030712,-0.263210, 0.025835,-0.002131,0.012518, 0.000000,1.000000,0.000000,0.000000, -0.043071,0.224712,0.263210, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
1.002804,1020.099854,56.412498,0, 0.023928,-10.011570,-0.215354, 0.029297,-0.000533,0.001065, 0.000000,1.000000,0.000000,0.000000, 0.023928,0.205570,0.215354, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
1.012807,1020.099854,56.412498,0, -0.028714,-10.011570,-0.301496, 0.026900,0.004261,0.005859, 0.000000,1.000000,0.000000,0.000000, -0.028714,0.205570,0.301496, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
1.022807,1020.139648,56.412498,0, 0.023928,-9.997213,-0.244068, 0.029563,0.001332,0.004794, 0.000000,1.000000,0.000000,0.000000, 0.023928,0.191214,0.244068, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
1.032808,1020.139648,56.412498,0, 0.033500,-9.997213,-0.210568, 0.027699,-0.000799,0.012252, 0.000000,1.000000,0.000000,0.000000, 0.033500,0.191214,0.210568, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
1.042808,1020.139648,56.412498,0, 0.062213,-9.997213,-0.196211, 0.029297,0.002930,0.011186, 0.000000,1.000000,0.000000,0.000000, 0.062213,0.191214,0.196211, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
1.052810,1020.090820,56.410416,0, -0.014357,-10.011570,-0.119641, 0.027699,-0.002397,0.012518, 0.000000,1.000000,0.000000,0.000000, -0.014357,0.205570,0.119641, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
1.062812,1020.090820,56.410416,0, -0.057428,-10.006784,-0.119641, 0.030096,-0.003995,0.019443, 0.000000,1.000000,0.000000,0.000000, -0.057428,0.200785,0.119641, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
1.072812,1020.090820,56.410416,0, -0.071785,-10.001998,-0.157926, 0.023970,0.002663,0.016779, 0.000000,1.000000,0.000000,0.000000, -0.071785,0.195998,0.157926, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
1.082812,1020.090820,56.410416,0, -0.047856,-10.001998,-0.105284, 0.029830,-0.001332,0.017046, 0.000000,1.000000,0.000000,0.000000, -0.047856,0.195998,0.105284, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
